Funding,Type,Document Count,,total 6077,,,
Norges Forskningsråd / Research Council of Norway,Government funding agency,185,,funding statements indexed 631,,,
National Natural Science Foundation of China,Government funding agency,37,,10.4,% of records with funding statements indexed,,
Biotechnology and Biological Sciences Research Council,Government funding agency,28,,,,,
Fondo Nacional de Desarrollo Científico y Tecnológico / The National Fund for Scientific and Technological Development,Government funding agency,43,,,,,
Natural Sciences and Engineering Research Council of Canada,Government funding agency,24,,Type,n,,
Fiskeri - og havbruksnæringens forskningsfond / The Norwegian Seafood Reserach Fund,Industry funder,41,,Government funding agency,478,,
Agencia Nacional de Investigación y Desarrollo,Government funding agency,25,,Industry funder,41,,
Comisión Nacional de Investigación Científica y Tecnológica / National Commission for Scientific and Technological Research,Government funding agency,21,,International funding agency,31,,
Conselho Nacional de Desenvolvimento Científico e Tecnológico / National Council for Scientific and Technological Development,Government funding agency,13,,Government body,49,,
Horizon 2020 Framework Programme,International funding agency,23,,Independent funding body,20,,
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior / Foundation for the Coordination for the Improvement of Higher Education Personnel,Government body,11,,Non-governmental organisation,6,,
Deutsche Forschungsgemeinschaft / German Research Foundation,Independent funding body,10,,Industry and Higher-education-based funding body,6,,
European Regional Development Fund,International funding agency,8,,,631,,
Fisheries and Oceans Canada,Government body,8,,,,,
Indian Council of Agricultural Research,Government funding agency,8,,Industry funded,47,7.4,% industry funded
Medical Research Council,Government funding agency,8,,,,,
National Institute of Food and Agriculture,Government funding agency,8,,Lens.org Scholarly search,,,
Svenska Forskningsrådet Formas,Government funding agency,8,,Search - salmong farming,,,
Havforskningsinstituttet / Institute of Marine Research,Government funding agency,7,,https://link.lens.org/C6i5ELN1awc ,,,
Scottish Government,Government body,7,,,,,
Australian Research Council,Government funding agency,6,,,,,
Corporación de Fomento de la Producción / Production Development Corporation,Government body,11,,,,,
Fundação de Amparo à Pesquisa do Estado de São Paulo / São Paulo Research Foundation,Government funding agency,6,,,,,
Ministerio de Ciencia e Innovación,Government body,6,,,,,
National Key Research and Development Program of China,Government body,6,,,,,
National Science Foundation,Government funding agency,6,,,,,
Natural Environment Research Council,Government funding agency,6,,,,,
Ocean Frontier Institute,Non-governmental organisation,6,,,,,
Science Foundation Ireland,Government funding agency,6,,,,,
Scottish Aquaculture Innovation Centre,Industry and Higher-education-based funding body,6,,,,,
Fisheries Research and Development Corporation,Government funding agency,5,,,,,
Fundação para a Ciência e a Tecnologia / Foundation for Science and Technology,Government funding agency,5,,,,,
Killam Trusts,Independent funding body,5,,,,,
"National Institute of Child Health and Human Development (NICHD), National Institutes of Health (NIH), Department of Health & Human Services (HHS)",Government funding agency,5,,,,,
Scottish Funding Council,Government funding agency,5,,,,,
University Grants Commission,Government funding agency,5,,,,,
Wellcome Trust,Independent funding body,5,,,,,
Agence Nationale de la Recherche / National Research Agency,Government funding agency,4,,,,,
Canada Research Chairs,Government funding agency,4,,,,,
